Category,Number,Name,Description,Width,Weight,Vibration Tolerance (Operating),Vibration Tolerance (Non-operating),UPC,Tier,Temperature (Operating Minimum),Temperature (Operating Maximum),Technical Notes,Tagged Solutions,Tagged Industries,Tagged Applications,System Monitoring,Suitable Environments,SSD Write Speed,SSD SATA Interface,SSD Read Speed,SSD Options,SSD Flash RAM Type,SSD Disk Features,SSD Capacity,S/W Subscription Certifications,Short Description,Shock Tolerance (Operating),Shock Tolerance (Non-operating),Shipping Width,Shipping Length,Shipping Height,Series,Reporting Category,Regulatory Restrictions,Regulatory Notes,Regulatory Certifications,Product Change Notes,Processor Turbo Frequency Maximum,Processor Tjunction/Tmax (Intel),Processor Threads,Processor TDP,Processor Socket,Processor Model,Processor Generation,Processor Features,Processor Cores,Processor Clock Speed,Processor Cache,Power Input Connector,Power Cord Length,Power Conversion Note,Power Consumption,Power Cable Coupler,Power Automotive Features,Power AC Frequency Minimum,Power AC Frequency Maximum,Partner,Parent Model Number,Output Voltage Minimum,Output Voltage Maximum,Output Power Minimum,Output Power Maximum,Output Current Minimum,Output Current Maximum,OS Minimum Footprint,Origin System,Optical Drive Bay,Digi Product ID,Number of Monitor Supported,Networking Type,Network Standards,Motherboard Raid Support,Motherboard Form Factor,Motherboard Chipset,Mobile Frequency Bands,Meta Title,Meta Description,RAM Type,RAM Speed,RAM Slots Count,RAM Channels,RAM Capacity,Marketing Description,Manufacturer Warranty,Manufacturer Product Link,Manufacturer Launch Date,Manufacturer Expected Lifecycle,Lifecycle Status,Length,Launch Date,LAN Ports,LAN Controller,Is Consigned,Input/Output (dictionary),Input Voltage Minimum,Input Voltage Maximum,Input Power Minimum,Input Power Maximum,Input Current Minimum,Input Current Maximum,Included Accessories,Humidity (Operating Minimum),Humidity (Operating Maximum),HTS Code,Height,Heat Sink Air Flow,Hardware Line,GTIN,Graphics/GPU,Fan Bearing Type,Fan Bearing RPM,Expected Lifespan,Expansion Wireless Frequency Minimum,Expansion Wireless Frequency Maximum,Expansion Slot Count,Expansion Options,Expansion Mobile Carriers,Expansion Daughterboard Type,Expansion Acoustics,End of Life Date,eas test column 1,EAN (deprecated),Display Viewing Angle,Display Touchscreen Type,Display Screen Size,Display Resolution,Display Mounting Options,Display Contrast Ratio,Display Brightness,Display Aspect Ratio,Defining Spec 3,Defining Spec 2,Defining Spec 1,DC Output Cord Length,Customer Facing Short Name,Customer Facing Name,Custom Robots,Cooling Type,Connectivity,Case Type (Chassis),Case Port Punchouts,Case Mounting Options,Case Material,Case Expansion Slots,Case Color,Cable Type,Cable DC Connector,Cable Connectors,Brand,Benefit 3,Benefit 2,Benefit 1,Media,Bundle,Variant,Relations →,Power Options,Mounting,Mounting Options,Assembly & Validation Options,Assembly & Validation,Operating System Options,Operating System,Wi-Fi / Bluetooth Antenna,Sales Motherboard Options,Wireless/Bluetooth,Wireless/Bluetooth Options,Power Input,Power Input Options,Secondary SSD Drive,Secondary SSD Drive Options,Case,Customizations,Customization Options,Heat Sink,Warranty,Warranty Options,Controlled by,SSD Drive,SSD Drive Options,RAM,RAM Options,Processor,Processor Options,Motherboard,Motherboard Options,Depends on,Not compatible,Compatible
master_catalog;physical_products;components;PC,AI200G,Digi Helix 500 Intel PC,Digi Helix 500 Intel PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Relations →,,,,,,,,,,,,,,,,AI200,,,,,,,,,,,,,,,,,
master_catalog;virtual_products;virtual_Wireless Service,SV-HWAutoPWR,Auto Power On,Set System to Auto Power On via Jumper/Dip Switch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Relations →,AI350;AI200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
master_catalog;virtual_products;virtual_Warranty,WAS2,3 Year Extended Warranty - Advanced Socket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Relations →,,,,,,,,,,,,,,,,,,,,,AI350;AI200,,,,,,,,,,,,
master_catalog;virtual_products;virtual_S/W Subscription,AWS-UBUNTU-18.04-64,AWS IoT Greengrass with Ubuntu 18.04 LTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Relations →,,,,,,AI350;AI200,,,,,,,,,,,,,,,,,,,,,,,,,,,
master_catalog;virtual_products;virtual_S/W Subscription,ubuntu20.04-64,Ubuntu Desktop 20.04 LTS 64-bit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Relations →,,,,,,AI350;AI200,,,,,,,,,,,,,,,,,,,,,,,,,,,
master_catalog;virtual_products;virtual_S/W Subscription,Win1064-Home,Microsoft Windows 10 Home - 64-bit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Relations →,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
master_catalog;virtual_products;virtual_S/W Subscription,Win1064-Pro,Microsoft Windows 10 Pro - 64-bit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Relations →,,,,,,AI350;AI200,,,,,,,,,,,,,,,,,,,,,,,,,,,
master_catalog;virtual_products;virtual_S/W Subscription,Win10-IoT-2019-HE-64,"Windows 10 IoT Enterprise 2019 LTSC High End (i7, Xeon) - 64 Bit",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Relations →,,,,,,AI350;AI200,,,,,,,,,,,,,,,,,,,,,,,,,,,
master_catalog;virtual_products;virtual_S/W Subscription,Win10-IoT-2019-V-64,Windows 10 IoT Enterprise 2019 LTSC Value (Celeron/i3/i5) - 64 Bit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Relations →,,,,,,AI350;AI200,,,,,,,,,,,,,,,,,,,,,,,,,,,
master_catalog;virtual_products;virtual_S/W Subscription,ubuntu18.04-64,Ubuntu Desktop 18.04 LTS 64-bit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Relations →,,,,,,AI350;AI200,AI350;AI200,,,,,,,,,,,,,,,,,,,,,,,,,,
